stock_code,date_start,date_end,score,c1,c2,c3,股票名称,地区,行业,市场类型,上市状态,上市日期,是否沪深港通标的,企业性质,同花顺链接
300346.SZ,2025-12-15,2025-12-17,-0.6767749145106071,47.05,47.71,47.22,南大光电,江苏,半导体,创业板,L,2012-08-07 00:00:00,S,其他,https://stockpage.10jqka.com.cn/300346/
605222.SH,2026-02-26,2026-03-02,-0.6781470573124277,21.75,21.98,21.8,起帆电缆,上海,电气设备,主板,L,2020-07-31 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/605222/
688239.SH,2026-03-05,2026-03-09,-0.6782336328788239,73.1,75.22,73.49,航宇科技,贵州,航空,科创板,L,2021-07-05 00:00:00,H,自然人,https://stockpage.10jqka.com.cn/688239/
600105.SH,2026-01-28,2026-01-30,-0.6788023746967113,26.3,26.87,26.43,永鼎股份,江苏,通信设备,主板,L,1997-09-29 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/600105/
002575.SZ,2026-01-28,2026-01-30,-0.679046414736501,7.11,7.4,7.2,群兴玩具,广东,文教休闲,主板,L,2011-04-22 00:00:00,S,其他,https://stockpage.10jqka.com.cn/002575/
603601.SH,2026-02-25,2026-02-27,-0.6806131769974721,13.02,13.23,13.1,再升科技,重庆,玻璃,主板,L,2015-01-22 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/603601/
688213.SH,2026-02-26,2026-03-02,-0.6816153590157533,96.36,97.41,96.58,思特威-W,上海,半导体,科创板,L,2022-05-20 00:00:00,H,自然人,https://stockpage.10jqka.com.cn/688213/
000610.SZ,2026-01-14,2026-01-16,-0.682336605305894,13.11,13.33,13.17,西安旅游,陕西,旅游服务,主板,L,1996-09-26 00:00:00,N,地方国有企业,https://stockpage.10jqka.com.cn/000610/
300793.SZ,2026-03-05,2026-03-09,-0.6824095003808524,15.98,16.1,15.91,佳禾智能,广东,IT设备,创业板,L,2019-10-18 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/300793/
300729.SZ,2026-03-05,2026-03-09,-0.6824893932179259,13.43,13.69,13.5,乐歌股份,浙江,家居用品,创业板,L,2017-12-01 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/300729/
603599.SH,2026-03-06,2026-03-10,-0.6828829884072998,14.74,14.9,14.8,广信股份,安徽,农药化肥,主板,L,2015-05-13 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/603599/
603938.SH,2026-02-25,2026-02-27,-0.6834394291129926,26.88,28.37,27.41,三孚股份,河北,化工原料,主板,L,2017-06-28 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/603938/
600470.SH,2026-01-23,2026-01-27,-0.6843302556600662,6.72,6.79,6.68,六国化工,安徽,农药化肥,主板,L,2004-03-05 00:00:00,N,其他,https://stockpage.10jqka.com.cn/600470/
002199.SZ,2025-12-29,2025-12-31,-0.6844643463501561,8.56,8.7,8.49,*ST东晶,浙江,元器件,主板,L,2007-12-21 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/002199/
000426.SZ,2026-01-20,2026-01-22,-0.6851471254064413,51.75,54.2,52.66,兴业银锡,内蒙,铅锌,主板,L,1996-08-28 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/000426/
300531.SZ,2026-03-05,2026-03-09,-0.6855504940604022,16.2,16.48,16.3,优博讯,深圳,IT设备,创业板,L,2016-08-09 00:00:00,S,外资,https://stockpage.10jqka.com.cn/300531/
600875.SH,2026-03-05,2026-03-09,-0.6866051029158647,42.21,44.22,43.0,东方电气,四川,电气设备,主板,L,1995-10-10 00:00:00,H,中央企业,https://stockpage.10jqka.com.cn/600875/
603607.SH,2025-12-29,2025-12-31,-0.6882458392299515,27.14,27.59,27.3,京华激光,浙江,造纸,主板,L,2017-10-25 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/603607/
