stock_code,date_start,date_end,score,c1,c2,c3,股票名称,地区,行业,市场类型,上市状态,上市日期,是否沪深港通标的,企业性质,同花顺链接
688598.SH,2026-01-15,2026-01-19,-0.6031011425460611,30.7,31.15,30.63,金博股份,湖南,矿物制品,科创板,L,2020-05-18 00:00:00,H,自然人,https://stockpage.10jqka.com.cn/688598/
600138.SH,2026-01-06,2026-01-08,-0.6048319427851252,9.84,9.97,9.87,中青旅,北京,旅游景点,主板,L,1997-12-03 00:00:00,H,中央企业,https://stockpage.10jqka.com.cn/600138/
301302.SZ,2026-03-06,2026-03-10,-0.6057488833905201,33.0,33.68,32.99,华如科技,北京,软件服务,创业板,L,2022-06-23 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301302/
002766.SZ,2026-01-12,2026-01-14,-0.6057569775239816,7.03,7.15,7.0,索菱股份,深圳,汽车配件,主板,L,2015-06-11 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/002766/
001366.SZ,2026-02-06,2026-02-10,-0.6071400469813235,14.89,15.38,14.99,播恩集团,江西,饲料,主板,L,2023-03-07 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/001366/
300249.SZ,2026-02-12,2026-02-24,-0.607548246910935,17.77,17.95,17.8,依米康,四川,IT设备,创业板,L,2011-08-03 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/300249/
688160.SH,2025-12-30,2026-01-05,-0.6087458808564764,145.99,152.5,147.0,步科股份,上海,电器仪表,科创板,L,2020-11-12 00:00:00,H,自然人,https://stockpage.10jqka.com.cn/688160/
301636.SZ,2026-02-06,2026-02-10,-0.6088683678036615,103.89,107.88,104.6,泽润新能,江苏,电气设备,创业板,L,2025-05-16 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301636/
002756.SZ,2025-12-23,2025-12-25,-0.6096302829283047,50.54,51.93,50.46,永兴材料,浙江,小金属,主板,L,2015-05-15 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/002756/
002253.SZ,2026-03-05,2026-03-09,-0.6108273765681091,10.44,10.65,10.47,*ST智胜,四川,软件服务,主板,L,2008-06-23 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/002253/
300193.SZ,2026-03-05,2026-03-09,-0.6114355441205065,9.78,9.9,9.76,佳士科技,深圳,专用机械,创业板,L,2011-03-22 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/300193/
300959.SZ,2026-03-05,2026-03-09,-0.6124240200658084,81.98,82.9,81.76,线上线下,江苏,电信运营,创业板,L,2021-03-22 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/300959/
603220.SH,2026-02-26,2026-03-02,-0.6126757982132829,27.1,27.8,27.01,中贝通信,湖北,通信设备,主板,L,2018-11-15 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/603220/
300769.SZ,2025-12-23,2025-12-25,-0.6141722188452702,44.34,44.89,44.45,德方纳米,深圳,化工原料,创业板,L,2019-04-15 00:00:00,S,其他,https://stockpage.10jqka.com.cn/300769/
002243.SZ,2026-01-05,2026-01-07,-0.6152798913187902,10.75,10.86,10.74,力合科创,深圳,广告包装,主板,L,2008-05-28 00:00:00,S,地方国有企业,https://stockpage.10jqka.com.cn/002243/
688981.SH,2026-02-09,2026-02-11,-0.6160560565169629,114.93,116.2,115.01,中芯国际,上海,半导体,科创板,L,2020-07-16 00:00:00,H,其他,https://stockpage.10jqka.com.cn/688981/
300808.SZ,2026-01-26,2026-01-28,-0.6161747974855224,31.94,32.75,32.13,久量股份,湖北,家用电器,创业板,L,2019-11-29 00:00:00,N,地方国有企业,https://stockpage.10jqka.com.cn/300808/
301380.SZ,2026-01-07,2026-01-09,-0.6162247790629878,39.5,40.5,39.72,挖金客,北京,软件服务,创业板,L,2022-10-25 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301380/
300835.SZ,2026-02-25,2026-02-27,-0.6165535057188182,89.52,91.06,89.75,龙磁科技,安徽,矿物制品,创业板,L,2020-05-25 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/300835/
688237.SH,2026-02-06,2026-02-10,-0.6165986625182953,48.89,49.85,48.98,超卓航科,湖北,航空,科创板,L,2022-07-01 00:00:00,N,自然人,https://stockpage.10jqka.com.cn/688237/
603072.SH,2026-01-06,2026-01-08,-0.6176061633050303,42.37,43.02,42.5,天和磁材,内蒙,矿物制品,主板,L,2025-01-03 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/603072/
300807.SZ,2026-03-05,2026-03-09,-0.6180089960674849,51.76,52.56,51.54,天迈科技,河南,软件服务,创业板,L,2019-12-19 00:00:00,N,外资,https://stockpage.10jqka.com.cn/300807/
688172.SH,2026-01-19,2026-01-21,-0.618135601118194,36.9,38.1,36.53,燕东微,北京,半导体,科创板,L,2022-12-16 00:00:00,H,企业,https://stockpage.10jqka.com.cn/688172/
002549.SZ,2025-12-12,2025-12-16,-0.6183121840012674,20.43,20.65,20.48,凯美特气,湖南,环境保护,主板,L,2011-02-18 00:00:00,S,外资,https://stockpage.10jqka.com.cn/002549/
002738.SZ,2026-02-11,2026-02-13,-0.6186102925175923,84.72,85.66,84.44,中矿资源,北京,小金属,主板,L,2014-12-30 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/002738/
000558.SZ,2026-03-05,2026-03-09,-0.6206468374825606,4.68,4.76,4.7,天府文旅,四川,旅游景点,主板,L,1994-05-09 00:00:00,S,地方国有企业,https://stockpage.10jqka.com.cn/000558/
603601.SH,2026-01-05,2026-01-07,-0.6211542890530058,12.99,13.53,13.11,再升科技,重庆,玻璃,主板,L,2015-01-22 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/603601/
603390.SH,2025-12-16,2025-12-18,-0.622500872183461,12.83,13.06,12.88,通达电气,广东,汽车配件,主板,L,2019-11-25 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/603390/
002406.SZ,2026-03-05,2026-03-09,-0.6227521599319182,7.96,8.1,8.0,远东传动,河南,汽车配件,主板,L,2010-05-18 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/002406/
301158.SZ,2026-01-23,2026-01-27,-0.6232294449429946,24.36,24.92,24.34,德石股份,山东,专用机械,创业板,L,2022-01-17 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301158/
688259.SH,2026-03-05,2026-03-09,-0.6247117442439122,38.73,39.49,38.79,创耀科技,江苏,半导体,科创板,L,2022-01-12 00:00:00,N,自然人,https://stockpage.10jqka.com.cn/688259/
301025.SZ,2025-12-18,2025-12-29,-0.6247956563544051,9.62,10.2,9.79,读客文化,上海,出版业,创业板,L,2021-07-19 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301025/
300792.SZ,2025-12-16,2025-12-18,-0.6253672391329677,27.63,27.99,27.68,壹网壹创,浙江,互联网,创业板,L,2019-09-27 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/300792/
002569.SZ,2026-01-29,2026-02-02,-0.6262243796954785,14.2,14.53,14.15,*ST步森,浙江,服饰,主板,L,2011-04-12 00:00:00,N,地方国有企业,https://stockpage.10jqka.com.cn/002569/
300681.SZ,2026-03-05,2026-03-09,-0.6262621224975653,23.22,23.59,23.21,英搏尔,广东,汽车配件,创业板,L,2017-07-25 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/300681/
601011.SH,2026-01-22,2026-01-26,-0.6269496388143909,3.45,3.49,3.44,宝泰隆,黑龙江,焦炭加工,主板,L,2011-03-09 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/601011/
000793.SZ,2026-03-05,2026-03-09,-0.627303898097037,2.85,2.88,2.84,ST华闻,海南,出版业,主板,L,1997-07-29 00:00:00,N,中央企业,https://stockpage.10jqka.com.cn/000793/
300943.SZ,2026-03-05,2026-03-09,-0.6274700330680354,34.89,35.98,34.63,春晖智控,浙江,机械基件,创业板,L,2021-02-10 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/300943/
600326.SH,2026-03-05,2026-03-09,-0.6279073439947155,10.68,10.89,10.74,西藏天路,西藏,水泥,主板,L,2001-01-16 00:00:00,H,地方国有企业,https://stockpage.10jqka.com.cn/600326/
600006.SH,2026-01-12,2026-01-14,-0.6283537467049178,7.38,7.45,7.37,东风股份,湖北,汽车整车,主板,L,1999-07-27 00:00:00,H,中央企业,https://stockpage.10jqka.com.cn/600006/
605060.SH,2026-02-25,2026-02-27,-0.6289496185770558,68.28,73.0,69.58,联德股份,浙江,机械基件,主板,L,2021-03-01 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/605060/
605305.SH,2026-03-05,2026-03-09,-0.629572853034819,37.6,38.05,37.6,中际联合,北京,工程机械,主板,L,2021-05-06 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/605305/
300295.SZ,2026-01-19,2026-01-21,-0.6299993594818231,13.24,13.39,13.23,三六五网,江苏,互联网,创业板,L,2012-03-15 00:00:00,N,其他,https://stockpage.10jqka.com.cn/300295/
920418.BJ,2025-12-12,2025-12-16,-0.6301481365139515,30.2,30.53,30.21,苏轴股份,江苏,汽车配件,北交所,L,2020-07-27 00:00:00,N,地方国有企业,https://stockpage.10jqka.com.cn/920418/
301365.SZ,2026-02-09,2026-02-11,-0.6304666704371,24.98,25.7,24.96,矩阵股份,深圳,建筑工程,创业板,L,2022-11-22 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301365/
002192.SZ,2026-02-11,2026-02-13,-0.6324501346228589,52.78,53.38,52.56,融捷股份,广东,小金属,主板,L,2007-12-05 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/002192/
001206.SZ,2026-01-19,2026-01-21,-0.6343010255578172,28.27,28.66,28.39,依依股份,天津,造纸,主板,L,2021-05-18 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/001206/
600839.SH,2026-01-14,2026-01-16,-0.6346481085435024,10.19,10.7,10.2,四川长虹,四川,家用电器,主板,L,1994-03-11 00:00:00,H,地方国有企业,https://stockpage.10jqka.com.cn/600839/
000893.SZ,2026-03-06,2026-03-10,-0.6350658144944882,64.01,66.0,64.19,亚钾国际,广东,农药化肥,主板,L,1998-12-24 00:00:00,S,其他,https://stockpage.10jqka.com.cn/000893/
600550.SH,2026-02-25,2026-02-27,-0.6357894494360089,17.4,17.77,17.48,保变电气,河北,电气设备,主板,L,2001-02-28 00:00:00,H,中央企业,https://stockpage.10jqka.com.cn/600550/
688275.SH,2025-12-23,2025-12-25,-0.6358906039771435,75.75,77.35,76.24,万润新能,湖北,电气设备,科创板,L,2022-09-29 00:00:00,H,自然人,https://stockpage.10jqka.com.cn/688275/
002865.SZ,2026-03-05,2026-03-09,-0.6364355270277746,87.02,92.0,87.42,钧达股份,海南,电气设备,主板,L,2017-04-25 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/002865/
920564.BJ,2026-02-26,2026-03-02,-0.637212622479079,28.96,29.38,28.96,天润科技,陕西,软件服务,北交所,L,2022-06-17 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/920564/
001359.SZ,2026-03-05,2026-03-09,-0.6375728415169346,77.16,77.99,77.06,平安电工,湖北,矿物制品,主板,L,2024-03-28 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/001359/
300875.SZ,2026-03-03,2026-03-05,-0.6403933278764894,54.06,55.79,53.74,捷强装备,天津,专用机械,创业板,L,2020-08-24 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/300875/
002129.SZ,2026-02-04,2026-02-06,-0.6441489925168338,10.57,10.74,10.62,TCL中环,天津,电气设备,主板,L,2007-04-20 00:00:00,S,其他,https://stockpage.10jqka.com.cn/002129/
300085.SZ,2026-02-04,2026-02-06,-0.6454614223087158,39.09,39.93,39.17,银之杰,深圳,软件服务,创业板,L,2010-05-26 00:00:00,S,其他,https://stockpage.10jqka.com.cn/300085/
002548.SZ,2026-03-05,2026-03-09,-0.6467761102880889,6.67,6.75,6.65,金新农,深圳,饲料,主板,L,2011-02-18 00:00:00,N,其他,https://stockpage.10jqka.com.cn/002548/
603757.SH,2026-02-25,2026-02-27,-0.6473820760526405,44.73,46.42,45.3,大元泵业,浙江,机械基件,主板,L,2017-07-11 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/603757/
600289.SH,2026-02-26,2026-03-02,-0.6474318205098706,6.98,7.25,7.06,ST信通,黑龙江,软件服务,主板,L,2000-07-20 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/600289/
002917.SZ,2026-01-19,2026-01-21,-0.6474474461096217,14.5,14.74,14.58,金奥博,深圳,化工原料,主板,L,2017-12-08 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/002917/
600916.SH,2026-01-20,2026-01-22,-0.6474490596658665,8.33,8.49,8.38,中国黄金,北京,服饰,主板,L,2021-02-05 00:00:00,H,中央企业,https://stockpage.10jqka.com.cn/600916/
600531.SH,2025-12-26,2025-12-30,-0.648753086482188,11.8,12.24,11.93,豫光金铅,河南,铅锌,主板,L,2002-07-30 00:00:00,H,地方国有企业,https://stockpage.10jqka.com.cn/600531/
002592.SZ,2026-01-30,2026-02-03,-0.649071224087549,10.51,10.98,10.67,ST八菱,广西,汽车配件,主板,L,2011-11-11 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/002592/
603993.SH,2026-01-06,2026-01-08,-0.6500624587801989,21.68,21.97,21.68,洛阳钼业,河南,小金属,主板,L,2012-10-09 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/603993/
002565.SZ,2026-02-03,2026-02-05,-0.6504822980777226,16.93,17.87,17.14,顺灏股份,上海,造纸,主板,L,2011-03-18 00:00:00,S,外资,https://stockpage.10jqka.com.cn/002565/
688603.SH,2026-02-26,2026-03-02,-0.6505600733420872,85.21,87.5,85.68,天承科技,上海,化工原料,科创板,L,2023-07-10 00:00:00,H,自然人,https://stockpage.10jqka.com.cn/688603/
600079.SH,2026-01-29,2026-02-02,-0.6526370684899713,18.18,18.38,18.19,ST人福,湖北,化学制药,主板,L,1997-06-06 00:00:00,N,中央企业,https://stockpage.10jqka.com.cn/600079/
301314.SZ,2026-02-04,2026-02-06,-0.6546805085454327,48.44,50.21,48.3,科瑞思,广东,元器件,创业板,L,2023-03-28 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301314/
003009.SZ,2025-12-25,2025-12-29,-0.6567117757051112,68.57,70.83,69.12,中天火箭,陕西,航空,主板,L,2020-09-25 00:00:00,S,中央企业,https://stockpage.10jqka.com.cn/003009/
003016.SZ,2026-03-05,2026-03-09,-0.6571381026100075,8.37,8.52,8.41,欣贺股份,福建,服饰,主板,L,2020-10-26 00:00:00,N,外资,https://stockpage.10jqka.com.cn/003016/
600593.SH,2026-01-19,2026-01-21,-0.6575355073989373,48.53,50.15,49.04,大连圣亚,辽宁,旅游景点,主板,L,2002-07-11 00:00:00,N,地方国有企业,https://stockpage.10jqka.com.cn/600593/
603269.SH,2026-02-03,2026-02-05,-0.6576597792240607,12.41,12.7,12.49,海鸥股份,江苏,机械基件,主板,L,2017-05-17 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/603269/
002365.SZ,2026-01-19,2026-01-21,-0.6588629023844295,15.61,15.87,15.68,永安药业,湖北,化学制药,主板,L,2010-03-05 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/002365/
300053.SZ,2025-12-26,2025-12-30,-0.6593743319779886,18.21,18.6,18.33,航宇微,广东,半导体,创业板,L,2010-02-11 00:00:00,S,地方国有企业,https://stockpage.10jqka.com.cn/300053/
